Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","159","China","5510","Production","0142","Groundnuts, excluding shelled","2012","2012","tonnes","16856845","A","Official figure"
"QCL","Crops and livestock products","159","China","5510","Production","0142","Groundnuts, excluding shelled","2013","2013","tonnes","17018965","A","Official figure"
"QCL","Crops and livestock products","159","China","5510","Production","0142","Groundnuts, excluding shelled","2014","2014","tonnes","16550213","A","Official figure"
"QCL","Crops and livestock products","159","China","5510","Production","0142","Groundnuts, excluding shelled","2015","2015","tonnes","16020508","A","Official figure"
"QCL","Crops and livestock products","159","China","5510","Production","0142","Groundnuts, excluding shelled","2016","2016","tonnes","16422832","A","Official figure"
"QCL","Crops and livestock products","159","China","5510","Production","0142","Groundnuts, excluding shelled","2017","2017","tonnes","17155187","A","Official figure"
"QCL","Crops and livestock products","159","China","5510","Production","0142","Groundnuts, excluding shelled","2018","2018","tonnes","17391471","A","Official figure"
"QCL","Crops and livestock products","159","China","5510","Production","0142","Groundnuts, excluding shelled","2019","2019","tonnes","17572798","A","Official figure"
"QCL","Crops and livestock products","159","China","5510","Production","0142","Groundnuts, excluding shelled","2020","2020","tonnes","18046465","A","Official figure"
"QCL","Crops and livestock products","159","China","5510","Production","0142","Groundnuts, excluding shelled","2021","2021","tonnes","18357437","A","Official figure"
